level_0,index,SITE_ID,2015_DATA_START,2015_DATA_END,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP,MAP_tower,MAT_tower,MET,PET_PM,PET_PT,MAP_badm,MAT_badm,GSfit_R2,CanopyHeight,MLAI,Nsample,GSfit_R2_nosm,g0,g1,m,GSmax0,GSmax1,GSmax2,g00,g01,g02,g03,GSREF
54,63,DE-Obe,2008,2014,50.7836,13.7196,735,ENF,1072.528146,6.637972817,415.3211132,496.3071434,687.1059829,996,5.5,0.286041281,19.64285714,2.463812478,3274,0.275060966,0.060573834,0.00707943,0.625065431,0.11542415,0.130318596,0.152309574,0.037310259,0.044661028,0.073191512,0.092169839,0.163011313
55,64,DE-Seh,2007,2010,50.8706,6.4497,103,CRO,547.728489,10.901098,636.1525059,1022.180119,473.2902761,693,9.9,0.734668415,0.432280711,1.581521393,1636,0.711004918,0.024235097,0.017851299,0.315986089,0.336752911,0.408627266,0.515942853,3.59E-24,0.043347336,0.041479959,0.056378322,0.644501419
58,67,DE-Tha,1996,2014,50.9636,13.5669,380,ENF,839.0946318,8.844560368,433.3928149,591.4475765,697.1278148,843,8.2,0.246353464,28.21052632,3.160358496,7245,0.235891457,0.04801671,0.006141911,0.374729141,0.066406959,0.073444769,0.084761056,0.031774538,0.053875568,0.07186906,0.035813827,0.089994334
59,68,DK-Fou,2005,2005,56.4842,9.5872,51,CRO,645.3887011,8.458451204,128.843835,1058.375442,619.4469006,,8,0.534725886,0.9425,2.146848546,389,0.327897331,7.55E-24,0.003428357,0.465028229,0.025450727,0.029695258,0.036953936,1.24E-24,0.010892397,0.004953465,0.033402272,0.033059458
60,73,ES-LgS,2007,2009,37.0979,-2.9658,2267,SHB,545.5930335,6.924392345,402.9727379,820.9909385,952.7126467,,,0.444112431,0.2,0.767765595,1750,0.307439612,0.033416467,0.01674712,0.618161574,0.1360447,0.157488394,0.184442348,0.033416467,0.06041702,1.13E-15,0.100804504,0.206592532
62,77,FI-Sod,2001,2014,67.3619,26.6378,180,ENF,540.055897,1.008340592,334.6190435,455.533998,395.6672415,500,-1,0.3813887,12.85,0.89929191,3042,0.366761567,0.066907372,0.011567255,0.836813207,0.195050425,0.218438955,0.252650957,0.041296317,0.064230381,0.073230981,0.064832593,0.249469275
63,78,FR-Fon,2005,2014,48.4764,2.7801,103,DBF,687.439944,11.57362933,690.8420179,657.1244774,785.7387541,720,10.2,0.408963287,27.33,3.971310076,8104,0.408963287,0.047629541,0.014327235,0.316278417,0.125220763,0.139883998,0.164069624,0.047629541,0.047629541,0.047629541,0.047629541,0.158917116
64,79,FR-Gri,2004,2013,48.8442,1.9519,125,CRO,588.7439806,11.08914832,531.6986903,835.6166747,576.5062082,650,12,0.774904205,0.588285714,1.696754863,425,0.725042618,0.045686905,0.009851545,0.703756782,0.116847391,0.131056793,0.142795638,0.043573393,0.066480207,0.058306064,0.171813557,0.149220799
65,81,FR-Pue,2000,2014,43.7414,3.5958,270,EBF,962.3153519,14.02262045,436.6127478,1014.564312,1056.400653,883,13.5,0.654365059,6.184206667,2.208300364,7114,0.654365059,0.002112598,0.011449337,0.384645897,0.068236527,0.077026714,0.0870164,0.002112598,0.002112598,0.002112598,0.002112598,0.090652793
66,82,GF-Guy,2004,2014,5.2788,-52.9249,48,EBF,3139.686663,25.60863887,1520.359439,959.3050817,1765.125714,3041,25.7,0.158619051,35,5.377990582,825,0.131351979,0.235375989,0.012109148,0.720351889,0.094461971,0.109852446,0.138388682,0.269399311,0.173172656,0.166266653,0.285253976,0.161869618
